comment_id,article_id
59856,2006
239579,26650
239612,26674
239616,26672
239644,26673
239669,27081
239727,28920
239744,26795
239787,29795
239793,30058
239852,26660
239868,31079
239917,32123
239921,26645
239959,32391
240028,27518
240038,32304
240045,32499
240059,32080
240296,32199
240493,32846
240528,32387
240561,32581
240581,32265
240700,33344
240717,32268
240727,33231
240799,33238
240845,26509
240855,32019
240867,32634
240879,33626
240922,34278
240940,34000
240947,26670
240963,34438
240978,34286
240982,34550
240985,32833
240996,34573
241005,34551
241010,34555
241017,34452
241023,34510
241043,34739
241048,34670
241074,34588
241097,34636
241105,26654
241121,34877
241129,34666
241132,34932
241140,34427
241200,34441
241207,34940
241222,35133
241234,26181
241235,34637
241237,34987
241240,35080
241241,32792
241267,35214
241283,35094
241296,34105
241307,35694
241366,35761
241635,35896
241658,36192
241668,36115
241678,36150
241679,35863
241707,36140
241724,35881
241730,35975
241742,26631
241748,36081
241752,36491
241816,35963
241893,36984
241900,36958
241902,36988
241942,37129
242250,37153
242253,36999
242284,36070
242337,37146
242394,37144
242412,37185
242454,37454
242458,37514
242470,37412
242474,37445
242548,37574
242561,37656
242562,37617
242588,37512
242607,37662
242617,37530
242650,37683
242651,37700
242692,37572
242696,37568
242720,37712
242735,37830
242738,36937
242744,37721
242750,37669
242772,37832
242774,37504
242801,37903
242845,37534
242864,37513
242877,26571
243364,38015
243382,37900
243419,37892
243426,37897
243451,37889
243462,37890
243465,37999
243472,37515
243507,38211
243509,38224
243543,38287
243548,37970
243552,38213
243565,38226
243566,38236
243578,38085
243593,38310
243604,38135
243638,38212
243649,38031
243653,38192
243657,38156
243672,37744
243686,38219
243710,38437
243733,38432
243744,38370
243752,38159
243774,38463
243778,38551
243794,38466
243805,38464
243811,38541
243826,38028
243906,38398
243911,38686
243925,38667
244020,38757
244024,36967
244039,38794
244077,38662
244080,38661
244093,38876
244096,38586
244102,38878
244160,38779
244174,38320
244178,38877
244184,38781
244225,39064
244230,38879
244249,39045
244292,39046
244296,39016
244302,39133
244329,38993
244333,39083
244343,39094
244345,39058
244351,38334
244352,39043
244384,39134
244398,39044
244400,39328
244403,39324
244424,39051
244426,39293
244428,39212
244444,38982
244458,39263
244466,39087
244501,39435
244535,39497
244606,39381
244609,39483
244658,39452
244661,39527
244680,39575
244687,39414
244699,39637
244703,39507
244733,39817
244736,39608
244741,39679
244760,39707
244766,39386
244767,39665
244789,39656
244790,39004
244801,39913
244830,39908
244869,39031
244871,39720
244885,40028
244918,30130
244924,40048
244944,39911
244956,40130
244962,40140
244963,39960
244974,39901
245025,39478
245036,40008
245093,40132
245124,40131
245149,40258
245151,40367
245176,40221
245191,40405
245205,40317
245206,40401
245213,40172
245214,40200
245241,40402
245252,40214
245253,40413
245272,39612
245282,40340
245333,40250
245341,26409
245359,39819
245371,40605
245376,40324
245378,40585
245391,40176
245410,40343
245422,40714
245424,40710
245431,40529
245476,40802
245481,40801
245485,40216
245511,40798
245513,40788
245514,40691
245526,40753
245552,40877
245554,40799
245555,40760
245568,40922
245583,40957
245585,40906
245594,32516
245610,40800
245626,27888
245647,40953
245651,40988
245670,27972
245689,40940
245711,41062
245727,41126
245749,40322
245760,41152
245764,41220
245814,41110
245822,41159
245831,41262
245837,41212
245859,41048
245889,41225
245890,41474
245900,41532
245920,40181
245924,41513
245937,41562
245982,41210
245993,41626
246011,41223
246044,41433
246047,41660
246058,41207
246069,41529
