essay_id_comp,judge_score
000A58BC095E,3
000BAD50D026,3
000E6DE9E817,3
0016926B079C,3
00203C45FC55,5
00299B378633,3
0029F4D19C3F,3
003FDC7E6F20,4
0045BE2791A2,3
004AC288D833,2
004EA492DA04,4
0054DD9BDFC7,3
0056F3D261D5,5
005D28D3FEC2,4
005DA83BD607,4
008015604AA0,5
0083B82A9C6F,4
0085F7F83D83,3
00898D9FB10A,4
008C191EF21C,4
008C457C8E0B,4
00941DB98302,3
0094474956AD,4
009F4E9310CB,3
00A4CB36E006,4
00A551B2B4B2,4
00B0190508AD,4
00C2C86DCC23,3
00C315EF49C7,4
00C843E757F4,3
00D304153840,4
00E3F86E3E6A,3
00EE23F071DE,4
00F11421BE7F,3
00F477C0C28F,4
00FF0A430A56,4
010A9CFB3108,3
01267F2F5B01,3
012CB3D46662,3
013692FA66AF,4
01374C8A76BC,3
0147365CB20D,3
01495BF80A2A,4
014BF1790D44,4
015480E09FE1,3
0158970BC5D2,4
015F4D9DE71D,4
016451AABDF0,3
016A403802E8,2
016B35EDC7B8,4
017FB36B3B0C,4
018311715B91,4
018A7B9DA61B,3
0191274639A4,3
019B73E2A599,4
019BDC9DF7CD,3
01A53D28E44A,3
01ACD1326679,4
01B3A57AB13D,5
01B44DA627B6,3
01BBB8075DC9,3
01BCD3BFBAD0,4
01C53183305A,3
01D017390DBC,4
01D04F3DF6CA,3
01DB053153E0,3
01DF3961CF90,3
01E81DCE4F59,3
01F69867D1BE,4
01FC4BCFD7CB,4
01FE696E9CC2,4
0201B7877AD3,3
0214F87B86C3,4
021823AF0384,5
021B23C3C2C6,4
021B2E55384C,4
0222CB9AEFFC,3
0222E19C41BC,4
022585D2819F,3
0228C92DFDF2,4
022DD0BE5A38,4
022EE73C4244,4
0230E2A9E656,4
02322AA38631,3
0242719E9969,3
025453135C64,3
0257D9E42247,3
02580BFD0105,3
026D034610CE,5
026DB1116D4D,4
028E0CD5DACE,5
02A3E737A10F,3
02AEBAE6EC47,3
02B12E0E4025,4
02B6F6D24B6F,4
02C172EEAFE4,3
02C49FD99F7D,5
02CDFA415350,3
02D500B937EB,3
02DE2BC0EC95,4
02DE71CCBB4B,5
02EB601F0107,5
02EE98C9DB32,4
02F4114B1F63,4
03004B5AD2CC,4
03036B87A396,5
0309F61A6F1A,4
030A70B9F194,3
030BBFC7D7F9,5
0316F6288791,3
0322EFDA120C,4
0333283809F6,3
03401B71D0F2,4
034A4394335C,4
034F335E1B82,4
03503E5155AE,3
0358E1A5CC75,4
03656D51096B,4
03739A8DFD62,4
037A3E847693,3
03803A910311,2
038480498E5A,3
038BD0772A14,4
039228E4B779,4
0398942EFF6E,3
03990A4F67B4,3
039E3E7329B2,4
03A12A02CE62,4
03A2687FCE27,4
03B3EDA0F9D7,4
03B55D3B695B,4
03B874232827,4
03BA5E41C5E4,5
03BAAAE93383,4
03BC86ED932A,4
03C562EF629C,5
03C96AF26E75,5
03CFA8202072,3
03D0A8C34AFB,4
03D134875F1C,5
03F52910C24F,4
03F56A5C191A,3
03FDC60BE33B,4
04042B33F470,3
0408B654C48C,3
0411473808DC,3
0416D5BC09FB,4
041FABDBF592,3
0426BE0F775E,4
042F1ABC1DC7,3
04326B0CA099,3
0433D61E8652,4
043CEF390B3E,3
044C80B2A55A,4
044D921A8C99,4
045020BFAD75,4
0459F1BBF74A,3
0459FB59CBA7,4
045C51AB37B3,3
045C9829A0F9,4
046A86DE2898,4
046C6FB91CBA,4
047BD3CB80B4,4
04810832D23A,3
0483125DCD62,3
048CE592752A,3
04906D555188,3
0496DBA378FB,5
049E10369FBA,4
04A018921C58,4
04A24D0BAB28,4
04A7E6D80ADD,4
04AAE2E8EFB4,4
04ACA7EB3994,4
04AF157D14EA,4
04B5CE4CBF61,4
04B6F07AC0EC,3
04B9D7851CAC,2
04BC78F95F4A,4
04BF8771ADA6,4
04C46E44F660,3
04C4DFEECF27,4
04D10F678D31,4
04D4F9F350F6,3
04D653441263,4
04D8A1F09465,3
04E2B40088AB,4
04F17031683C,3
04F4F6D2ABE2,4
05011EB91BCE,3
0504EEB01AD9,4
0507DAFBE89D,4
050AB114EBE2,4
050ABE0F7EDA,3
050EC6489A64,4
05101578DCA8,4
05118F820085,3
051C3A22AEE0,2
051F7768F76D,4
05273EE0A28A,4
0527DB04DCC0,5
052BF542A50F,3
052F182ACD73,4
053ACB9DFE74,3
05452D9728B2,4
054C082D0304,5
054D758A0DD0,4
05512D7C6578,4
05528E85EA1B,3
0555B97EB61C,4
0563F089C239,4
058675A4D020,4
058BD5D122D1,3
058CA87825F6,4
05A0DA9580E5,3
05A2C2BB8082,4
05A474FBA68F,3
05A6C6DF86A9,4
05B414601770,3
05B970A2AA96,3
05BA34E2D72A,4
05C19B6DF445,3
05C28F111573,4
05C8C18D341B,4
05CE48E8193E,5
05D237F606EA,4
05D84C1F29D4,4
05E4FBBF2E50,3
05E95229344B,3
05EC08C05019,3
05EF8571B859,4
05F30981F3EB,4
05F3A442CAE3,5
05F76135BBE1,4
05F87BEFBD79,4
05F9DC51226B,4
05FB627DCA52,4
05FFBFA9B3BA,4
06082EEC2458,4
0610C8536282,3
0611BEFA3685,4
062C24EF834D,3
06348D6E4080,4
063D5478D82F,4
0640FE8DF9D6,5
06462BAC62B2,4
0647269B45A1,3
064E497ED786,4
0652A1415220,3
06544C8704C4,4
06592F816295,3
0664B75B49BA,3
06699F123D6B,4
066B1D7C9214,4
066BF70B8B98,3
066F06E5E52C,4
067194796AD7,4
0679BAADD10C,4
067A65349063,3
06814DF362D6,4
0684F83533CE,4
068B2C038555,3
068EECC9A878,4
068F206FE4F8,4
06936C8AA35D,5
0699B4A08981,4
069EFABE5A55,3
06A22B3B4BD9,4
06A9B4BC2E90,4
06ADDCC67A61,4
06B1E9A43C96,4
06BC6DAE198F,4
06C145EE7C45,4
06C88B7A0E1D,4
06CDC40C681B,4
06DAD53DA2B9,4
06DC11A94052,5
06DD81D3CF74,3
06DDAA4EB60C,3
06E3595C94BF,3
06E490F2538D,4
06E8CF6B7DD0,3
06EC785D1238,4
06F37AF3F52A,2
06F5F6A09DC6,3
0713804A7926,3
071BF63AF332,4
071E1B145717,4
071FB27E532B,2
